"filename", "language", "Lex", "Markdown", "C", "YACC", "C++", "comment", "blank", "total"
"/Users/bharaths/Downloads/S5-CD-Lab/Exp03/variable_name/y.tab.h", "C++", 0, 0, 0, 0, 26, 33, 10, 69
"/Users/bharaths/Downloads/S5-CD-Lab/Exp04/README.md", "Markdown", 0, 60, 0, 0, 0, 0, 18, 78
"/Users/bharaths/Downloads/S5-CD-Lab/Exp04/lex.yy.c", "C", 0, 0, 1135, 0, 0, 361, 325, 1821
"/Users/bharaths/Downloads/S5-CD-Lab/Exp04/pgm4-1.l", "Lex", 16, 0, 0, 0, 0, 0, 4, 20
"/Users/bharaths/Downloads/S5-CD-Lab/Exp04/pgm4-2.l", "Lex", 15, 0, 0, 0, 0, 10, 2, 27
"/Users/bharaths/Downloads/S5-CD-Lab/Exp05/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/bharaths/Downloads/S5-CD-Lab/Exp05/exp5.c", "C", 0, 0, 45, 0, 0, 2, 18, 65
"/Users/bharaths/Downloads/S5-CD-Lab/Exp05/exp5S.c", "C", 0, 0, 69, 0, 0, 7, 14, 90
"/Users/bharaths/Downloads/S5-CD-Lab/Exp05/nfatodfa.c", "C", 0, 0, 159, 0, 0, 22, 24, 205
"/Users/bharaths/Downloads/S5-CD-Lab/Exp06/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp06/firstandfollow.c", "C", 0, 0, 212, 0, 0, 43, 33, 288
"/Users/bharaths/Downloads/S5-CD-Lab/Exp07/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp07/pgm7.c", "C", 0, 0, 52, 0, 0, 5, 16, 73
"/Users/bharaths/Downloads/S5-CD-Lab/Exp08/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp08/pgm8.c", "C", 0, 0, 116, 0, 0, 14, 16, 146
"/Users/bharaths/Downloads/S5-CD-Lab/Exp09/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp09/shift-reduce-parser.c", "C", 0, 0, 75, 0, 0, 12, 12, 99
"/Users/bharaths/Downloads/S5-CD-Lab/Exp10/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp10/three_addr.c", "C", 0, 0, 50, 0, 0, 0, 10, 60
"/Users/bharaths/Downloads/S5-CD-Lab/Exp11/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp11/target_code.c", "C", 0, 0, 50, 0, 0, 9, 13, 72
"/Users/bharaths/Downloads/S5-CD-Lab/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 3, 6
"Total", "-", 161, 113, 12519, 82, 78, 4024, 3587, 20564
